,code,lot_size,stock_name,stock_type,stock_id
197,HK.00208,5000,保利达资产,STOCK,44998372360400
198,HK.00209,4000,瀛晟科学,STOCK,50470160695505
199,HK.00210,2000,达芙妮国际,STOCK,40527311405266
200,HK.00211,10000,大凌集团,STOCK,34389803139283
201,HK.00212,500,南洋集团,STOCK,212
202,HK.00213,2000,乐声电子,STOCK,23673859735765
203,HK.00214,2000,汇汉控股,STOCK,25116968747222
204,HK.00215,2000,和记电讯香港,STOCK,61722975011031
205,HK.00216,4000,建业实业,STOCK,4831838208216
206,HK.00217,2000,中国诚通发展集团,STOCK,217
207,HK.00218,5000,申万宏源香港,STOCK,218
208,HK.00219,2000,顺豪物业,STOCK,5257039970523
209,HK.00220,1000,统一企业中国,STOCK,59541131624668
210,HK.00221,10000,易易壹金融,STOCK,51526722650333
211,HK.00222,2000,闽信集团,STOCK,19585050869982
212,HK.00223,20000,易生活控股,STOCK,50620484550879
213,HK.00224,4000,建生国际,STOCK,224
214,HK.00225,2000,博富临置业,STOCK,4647154614497
215,HK.00226,1000,力宝,STOCK,226
216,HK.00227,8000,第一上海,STOCK,4144643440867
217,HK.00228,2000,中能控股,STOCK,50401441218788
218,HK.00229,1000,利民实业,STOCK,23356032155877
219,HK.00230,2000,五矿地产,STOCK,34454227648742
220,HK.00231,40000,平安证券集团控股,STOCK,231
221,HK.00232,2000,中国航空工业国际,STOCK,34419867910376
222,HK.00233,10000,铭源医疗,STOCK,25426206392553
223,HK.00234,24000,新世纪集团,STOCK,4539780432106
224,HK.00235,5000,中策集团,STOCK,4582730105067
225,HK.00236,2000,香港生力啤,STOCK,236
226,HK.00237,2000,安全货仓,STOCK,4737348927725
227,HK.00238,1000,长兴国际,STOCK,64063732187374
228,HK.00239,2500,白花油,STOCK,34445637714159
229,HK.00240,10000,利基控股,STOCK,240
230,HK.00241,2000,阿里健康,STOCK,3934190043377
231,HK.00242,2000,信德集团,STOCK,4806068404466
232,HK.00243,9000,品质国际,STOCK,26744761352435
233,HK.00244,1000,先施,STOCK,244
234,HK.00245,10000,中国民生金融,STOCK,4148938408181
235,HK.00246,500,瑞金矿业,STOCK,61405147431158
236,HK.00247,2000,尖沙咀置业,STOCK,3994319585527
237,HK.00248,4000,香港通讯国际控股,STOCK,49967649521912
238,HK.00250,50000,中国数码信息,STOCK,250
239,HK.00251,2000,爪哇控股,STOCK,5884105195771
240,HK.00252,2000,华信地产财务,STOCK,252
241,HK.00253,2000,顺豪控股,STOCK,253
242,HK.00254,10000,国家联合资源,STOCK,4505420693758
243,HK.00255,2000,龙记集团,STOCK,36348308226303
244,HK.00256,2000,冠城钟表珠宝,STOCK,34411277975808
245,HK.00257,1000,中国光大国际,STOCK,257
246,HK.00258,2000,汤臣集团,STOCK,258
247,HK.00259,2000,亿都(国际控股),STOCK,37121402339587
248,HK.00260,10000,幸福控股,STOCK,260
249,HK.00261,80000,大湾区投资控股,STOCK,51526722650373
250,HK.00262,5000,迪臣发展国际,STOCK,43039867273478
251,HK.00263,4000,高富集团控股,STOCK,28643136897287
252,HK.00264,4000,中玺国际,STOCK,52063593562376
253,HK.00265,10000,东胜旅游,STOCK,265
254,HK.00266,2000,天德地产,STOCK,266
255,HK.00267,1000,中信股份,STOCK,25336012079371
256,HK.00268,1000,金蝶国际,STOCK,55761560404236
257,HK.00269,5000,中国资源交通,STOCK,5033701671181
258,HK.00270,2000,粤海投资,STOCK,270
259,HK.00271,1000,亚证地产,STOCK,4952097292559
260,HK.00272,500,瑞安房地产,STOCK,57655640981776
261,HK.00273,20000,茂宸集团,STOCK,273
262,HK.00274,40000,中富资源,STOCK,48567490183442
263,HK.00275,10000,凯华集团,STOCK,34437047779603
264,HK.00276,3000,蒙古能源,STOCK,4140348473620
265,HK.00277,2000,太兴置业,STOCK,277
266,HK.00278,2000,华厦置业,STOCK,3620657430806
267,HK.00279,6000,民众金融科技,STOCK,28793460752663
268,HK.00280,2000,景福集团,STOCK,28604482191640
269,HK.00281,2000,川河集团,STOCK,4797478469913
270,HK.00282,10000,壹传媒,STOCK,282
271,HK.00285,500,比亚迪电子,STOCK,59554016526621
272,HK.00286,2000,同佳健康,STOCK,32439887986974
273,HK.00287,2000,永发置业,STOCK,287
274,HK.00288,500,万洲国际,STOCK,69947837382944
275,HK.00289,1000,永安百货,STOCK,289
276,HK.00290,2000,中国富强金融,STOCK,49151605735714
277,HK.00291,2000,华润啤酒,STOCK,291
278,HK.00292,10000,泛海酒店,STOCK,47940424958244
279,HK.00293,1000,国泰航空,STOCK,25671019528485
280,HK.00294,1000,长江制衣,STOCK,294
281,HK.00295,25000,江山控股,STOCK,1417339207975
282,HK.00296,5000,英皇娱乐酒店,STOCK,296
283,HK.00297,2000,中化化肥,STOCK,41953240547625
284,HK.00298,10000,庄士中国,STOCK,298
285,HK.00299,5000,宝新置地,STOCK,53846004990251
286,HK.00300,2000,昆明机床,STOCK,37538014167340
287,HK.00303,100,伟易达,STOCK,35832912150831
288,HK.00305,10000,五菱汽车,STOCK,35910221562161
289,HK.00306,2000,冠忠巴士集团,STOCK,41931765711154
290,HK.00307,2000,优派能源发展,STOCK,35948876267827
291,HK.00308,2000,香港中旅,STOCK,35858681954612
292,HK.00309,1000,新华通讯频媒,STOCK,52643414147381
293,HK.00310,15000,嘉进投资国际,STOCK,50109383442742
294,HK.00311,1000,联泰控股,STOCK,54172422504759
295,HK.00312,2000,岁宝百货,STOCK,64119566762296
296,HK.00313,50000,裕田中国,STOCK,36094905155897
297,HK.00315,500,数码通电讯,STOCK,42086384533819
298,HK.00316,500,东方海外国际,STOCK,35416300323132
299,HK.00317,2000,中船防务,STOCK,37009733189949
300,HK.00318,5000,黄河实业,STOCK,49834505535806
301,HK.00320,2000,金宝通,STOCK,57677115818304
302,HK.00321,2000,德永佳集团,STOCK,35442070126913
303,HK.00322,2000,康师傅控股,STOCK,40931038331202
304,HK.00323,2000,马鞍山钢铁股份,STOCK,37391985279299
305,HK.00326,10000,中国星集团,STOCK,35862976921926
306,HK.00327,1000,百富环球,STOCK,64261300683079
307,HK.00328,2000,爱高集团,STOCK,35927401431368
308,HK.00329,4000,东建国际,STOCK,49177375539529
309,HK.00330,100,思捷环球,STOCK,37546604101962
310,HK.00331,1000,丰盛服务集团,STOCK,331
311,HK.00332,4000,元亨燃气,STOCK,35656818491724
312,HK.00333,2000,黛丽斯国际,STOCK,34437047779661
313,HK.00334,8000,华显光电,STOCK,43074227011918
314,HK.00335,2000,美建集团,STOCK,48305497178447
315,HK.00336,1000,华宝国际,STOCK,34595961569616
316,HK.00337,1000,绿地香港,STOCK,57681410785617
317,HK.00338,2000,上海石油化工股份,STOCK,36962488549714
318,HK.00339,10000,核心经济投资,STOCK,47944719925587
319,HK.00340,2000,潼关黄金,STOCK,42713449759060
320,HK.00341,2000,大家乐集团,STOCK,25937307500885
321,HK.00342,2000,新海能源,STOCK,36339718291798
322,HK.00343,5000,文化传信,STOCK,26053271617879
323,HK.00345,2000,维他奶国际,STOCK,38023345471833
324,HK.00346,10000,延长石油国际,STOCK,49091476193626
325,HK.00347,2000,鞍钢股份,STOCK,43228845834587
326,HK.00348,50000,中国智能健康,STOCK,43520903610716
327,HK.00351,10000,亚洲能源物流,STOCK,35493609734495
328,HK.00352,2000,富阳,STOCK,57264798957920
329,HK.00353,20000,能源国际投资,STOCK,49512382988641
330,HK.00354,2000,中国软件国际,STOCK,52493090292066
331,HK.00355,4000,世纪城市国际,STOCK,18322330485091
332,HK.00356,30000,鼎立资本,STOCK,50869592654180
333,HK.00357,1000,瑞港集团,STOCK,51573967290725
334,HK.00358,1000,江西铜业股份,STOCK,43048457208166
335,HK.00359,4000,海升果汁,STOCK,56221121904999
336,HK.00360,4000,新焦点,STOCK,55151675048296
337,HK.00361,20000,顺龙控股,STOCK,48576080118121
338,HK.00362,10000,信阳毛尖,STOCK,49147310768490
339,HK.00363,1000,上海实业控股,STOCK,41424959570283
340,HK.00364,8000,区块链集团,STOCK,51230369907052
341,HK.00365,2000,紫光控股,STOCK,48296907243885
342,HK.00366,2000,陆氏集团(越南),STOCK,49027051684206
343,HK.00367,4000,庄士机构国际,STOCK,26727581483375
344,HK.00369,2000,永泰地产,STOCK,4861902979441
345,HK.00370,10000,国华,STOCK,41145786696050
346,HK.00371,2000,北控水务集团,STOCK,36541581754739
347,HK.00372,2000,保德国际发展,STOCK,34690450850164
348,HK.00373,2000,联合集团,STOCK,4750233829749
349,HK.00374,2000,四洲集团,STOCK,37091337568630
350,HK.00375,1000,YGM贸易,STOCK,28333899252087
351,HK.00376,2000,云锋金融,STOCK,27509265531256
352,HK.00377,80,华君国际集团,STOCK,36541581754745
353,HK.00378,2000,五龙动力,STOCK,26177825669498
354,HK.00379,10000,恒嘉融资租赁,STOCK,51552492454267
355,HK.00380,4000,冠力国际,STOCK,48580375085436
356,HK.00381,10000,侨雄国际,STOCK,48717814038909
357,HK.00382,2000,中汇集团,STOCK,77653008712062
358,HK.00383,10000,中国医疗网络,STOCK,33848637260159
359,HK.00384,200,中国燃气,STOCK,40467181863296
360,HK.00385,2000,建联集团,STOCK,37310380900737
361,HK.00386,2000,中国石油化工股份,STOCK,48309792145794
362,HK.00387,4000,力丰(集团),STOCK,52578989638019
363,HK.00388,100,香港交易所,STOCK,47820165874052
364,HK.00389,2000,通天酒业,STOCK,62560493633925
365,HK.00390,1000,中国中铁,STOCK,59498181951878
366,HK.00391,20000,美亚娱乐资讯,STOCK,37323265802631
367,HK.00392,500,北京控股,STOCK,42988327666056
368,HK.00393,4000,旭日企业,STOCK,41897405972873
369,HK.00395,8000,中国智能集团,STOCK,51483772977547
370,HK.00396,2000,兴利(香港)控股,STOCK,61916248539532
371,HK.00397,10000,权威金融,STOCK,37301790966157
372,HK.00398,2000,东方表行集团,STOCK,37297495998862
373,HK.00399,5000,领航医药生物科技,STOCK,48064979009935
374,HK.00400,1000,科通芯城,STOCK,69870527971728
375,HK.00401,5000,万嘉集团,STOCK,68667937128849
376,HK.00402,20000,天下图控股,STOCK,56779467653522
377,HK.00403,2000,星光集团,STOCK,36339718291859
378,HK.00404,2000,新昌集团控股,STOCK,33904471835028
380,HK.00406,2000,有利集团,STOCK,33968896344470
381,HK.00408,2000,叶氏化工集团,STOCK,33938831573400
382,HK.00410,500,SOHO中国,STOCK,59240483914138
383,HK.00411,1000,南顺(香港),STOCK,4436701217179
384,HK.00412,6000,中国山东高速金融,STOCK,34956738822556
385,HK.00413,8000,南华集团控股,STOCK,27376121545117
386,HK.00416,1000,锦州银行,STOCK,416
387,HK.00417,2000,谢瑞麟,STOCK,27436251087265
388,HK.00418,2000,方正控股,STOCK,40733469835682
389,HK.00419,10000,华谊腾讯娱乐,STOCK,51462298141091
390,HK.00420,2000,福田实业,STOCK,28703266439588
391,HK.00422,1000,越南制造加工出口,STOCK,59554016526758
392,HK.00423,2000,经济日报集团,STOCK,55821689946535
393,HK.00425,2000,敏实集团,STOCK,56337086022057
394,HK.00426,2000,万华媒体,STOCK,56148107461034
395,HK.00428,2000,中国天弓控股,STOCK,37568078938540
